INFO 2026-06-21 16:32:41,971 ai_worker 20408 7088 [OCR_RETRY_CHAIN_START] record=1007711 page=1 max_passes=5
INFO 2026-06-21 16:32:41,972 ai_worker 20408 7088 [OCR_RECOVERY_PASS] pass=1/5 (original image) record=1007711 page=1
INFO 2026-06-21 16:32:42,131 ai_proxy 20408 7344 [AI_MODEL_SELECTED] provider=Qwen model=qwen2.5vl:7b tenant_id=2eda0ac6-6af2-493e-8792-bc973fe946b7 record_id=1007711 page_number=1
INFO 2026-06-21 16:32:42,132 qwen_provider 20408 7344 [PREFIX_CACHE_TELEMETRY] PREFIX_HASH=0d4e4febb51ff816d64f5582586f1759d58c3d39a4d39a17440683d247b53390 PROMPT_HASH=d8186a04f0b2d47e8d0f70d9f5a98b9d9deb277f8a5a8509f5207f859ec46523 REQUEST_ID=ai_1007711_1_1782039760 PAGE_NUMBER=1 INVOICE_ID=1007711
INFO 2026-06-21 16:32:42,758 message_parser 20408 7088 [CONTEXT_TRACE_SCHEMA_VALIDATE] msg_id=afab6996-07c6-4a38-8701-e53dfcb41870 job_id=e1ca4245-2a81-42d6-a8bf-f71aff34d1c3 record_id=1007711 payload_keys=['type', 'prompt', 'image_data', 'mime_type', 'voucher_type', 'page_index', 'page_number', 'total_pages', 'wait_for_result', '_pdf_ocr_text', 'file_hash', 'item_id', 'record_id', 'job_id', 'upload_session_id', 'tenant_id', 'upload_type', 'correlation_id', 'is_rescan', 'rescan_history_id', 'user_id', 'metadata']
INFO 2026-06-21 16:32:42,758 message_parser 20408 7088 [JOB_CONTEXT_VALIDATED] job_id=e1ca4245-2a81-42d6-a8bf-f71aff34d1c3 record_id=1007711 session_id=fdce9a70-4459-4f99-85bb-e7fe14ab95e1
INFO 2026-06-21 16:32:42,758 message_parser 20408 7088 [JOB_CONTEXT_PROPAGATED] type=AI_EXTRACTION job_id=e1ca4245-2a81-42d6-a8bf-f71aff34d1c3 record_id=1007711
INFO 2026-06-21 16:32:42,758 worker_base 20408 7088 [QUEUE_MESSAGE_RECEIVED] correlation_id=0ec0c6b3-c503-4d01-be7c-2aec4a82d677 session_id=fdce9a70-4459-4f99-85bb-e7fe14ab95e1 job_id=e1ca4245-2a81-42d6-a8bf-f71aff34d1c3 record_id=1007711 page_number=1 worker_name=AI
INFO 2026-06-21 16:32:42,758 worker_base 20408 7088 [WORKER_MESSAGE_RECEIVED] correlation_id=0ec0c6b3-c503-4d01-be7c-2aec4a82d677 upload_session_id=fdce9a70-4459-4f99-85bb-e7fe14ab95e1 tenant_id=2eda0ac6-6af2-493e-8792-bc973fe946b7 job_id=e1ca4245-2a81-42d6-a8bf-f71aff34d1c3 record_id=1007711 invoice_no=unknown queue_name=ai worker_id=AI worker_pid=20408 hostname=LAPTOP-601O6S3T retry_count=1 visibility_timeout=1800
INFO 2026-06-21 16:32:42,758 worker_base 20408 7088 [WORKER_PICKUP] role='AI' task_id='afab6996-07c6-4a38-8701-e53dfcb41870' session_id='fdce9a70-4459-4f99-85bb-e7fe14ab95e1' job_id='e1ca4245-2a81-42d6-a8bf-f71aff34d1c3' correlation_id='0ec0c6b3-c503-4d01-be7c-2aec4a82d677'
INFO 2026-06-21 16:32:42,818 worker_base 20408 7088 [QUEUE_MESSAGE_PROCESSING] correlation_id=0ec0c6b3-c503-4d01-be7c-2aec4a82d677 session_id=fdce9a70-4459-4f99-85bb-e7fe14ab95e1 worker_name=AI
